Major Name,Requirements
"Aerospace Engineering, B.S.: 127 units","Major Required: 89 units,Major Electives: 6 units"
"Anthropology, B.S. - Archaeology Subplan/Option: 120 units","Major Required: 33 units,Subplan/Option Required: 12 units,Unrestricted Electives: 27-39 units"
"Animal Science, B.S. - Animal Science Subplan/Option: 120 units","Major Required: 53 units,Subplan/Option Required: 21-22 units,Restricted Electives: 0-16 units"
"Animal Science, B.S. - Pre-Veterinary Science/Graduate School Subplan/Option: 120 units","Major Required: 53 units,Subplan/Option Required: 31 units,Restricted Electives: 0-6 units"
"Agribusiness and Food Industry Management, B.S.: 120 units","Major Required: 61 units,Major Electives: 20 units"
"Apparel Merchandising and Management, B.S. - Apparel Production and Management Subplan/Option: 120 units","Major Required: 63-64 units,Subplan/Option Required: 12 units,Subplan/Option Electives: 9 units"
"Agricultural Science, B.S.: 120 units","Major Required: 55 units,Major Electives: 41 units"
"Anthropology, B.S. - General Anthropology Subplan/Option: 120 units","Major Required: 33 units,Subplan/Option Required: 12 units,Unrestricted Electives: 27-42 units"
"Anthropology, B.S. - Applied Anthropology Subplan/Option: 120 units","Major Required: 33 units,Subplan/Option Required: 12 units,Unrestricted Electives: 27-42 units"
"Apparel Merchandising and Management, B.S. - Fashion Retailing Subplan/Option: 120 units","Major Required: 63-64 units,Subplan/Option Required: 21 units"
"Animal Health Science, B.S.: 120 units","Major Required: 81 units,Major Electives: 9 units"
"Apparel Merchandising and Management, B.S. - Textiles Subplan/Option: 120 units","Major Required: 63-64 units,Subplan/Option Required: 21 units"
"Architecture, B.Arch.: 150 units","Major Required: 118 units,Major Electives: 9 units,Portfolio Review:,Professional Practice Requirement: 500 hours"
"Art History, B.A. : 120 units","Major Required: 36 units,Major Electives: 33 units,Unrestricted Electives: 3-15 units"
"Biology, B.S.: 120 units","Major Required: 56-58 units,Major Electives: 32-34 units"
"Biotechnology, B.S.: 120 units","Major Required: 74-75 units,Major Electives: 15-16 units,Unrestricted Electives: 0-6 units"
German Studies for the Professions Certificate: 15 units,"Certificate Required: 12 units,Certificate Electives: 3 units"
Dietetic Internship Certificate: 12 units,Certificate Required: 12 Units
